,kq.1,kq.160,kq.280,TFU.1.1,TFU.1.2,TFU.1.3,TFU.1.4,TFU.1.5,TFU.1.avr,TFU.160.1,TFU.160.2,TFU.160.3,TFU.160.4,TFU.160.5,TFU.160.avr,TFU.280.1,TFU.280.2,TFU.280.3,TFU.280.4,TFU.280.5,TFU.280.avr,CLA.1.1,CLA.1.2,CLA.1.3,CLA.1.4,CLA.1.5,CLA.1.avr,CLA.160.1,CLA.160.2,CLA.160.3,CLA.160.4,CLA.160.5,CLA.160.avr,CLA.280.1,CLA.280.2,CLA.280.3,CLA.280.4,CLA.280.5,CLA.280.avr,TCO.1.1,TCO.1.2,TCO.1.3,TCO.1.4,TCO.1.5,TCO.1.avr,TCO.160.1,TCO.160.2,TCO.160.3,TCO.160.4,TCO.160.5,TCO.160.avr,TCO.280.1,TCO.280.2,TCO.280.3,TCO.280.4,TCO.280.5,TCO.280.avr
180,0.7788644873,0.7713012114,0.7713029809999999,823.1052463999999,943.8011732000001,1005.707383,1003.604633,959.8330774,947.2103025999999,1200.8385970000002,1447.0056960000002,1554.066582,1517.183551,1391.157738,1422.0504328,1209.6795220000001,1477.9034060000001,1614.389362,1616.32768,1538.4998699999999,1491.359968,659.5440639999999,741.7630709,803.9732316000001,836.9375526,845.4453341,777.5326506399999,834.1964659,1010.7252679999999,1131.621895,1180.416743,1174.073467,1066.20676778,840.2038211000001,1031.106855,1172.973424,1248.890226,1275.555545,1113.74597422,580.6291812999999,641.4846972999999,703.5580996,755.2191918999999,790.6066776,694.2995695399999,643.1445398,779.9721991,914.2915475,1018.5420039999999,1080.681083,887.3262746799999,645.2833410000001,788.785437,935.4488623,1058.227459,1145.1343570000001,914.57589126
193,0.7447347746999999,0.7475461445,0.7475141792000001,802.9111324,916.8526403999999,980.8310552000002,987.1469398,949.8170269999999,927.5117589600001,1158.897621,1395.573651,1512.227216,1496.5286230000002,1384.970587,1389.6395396,1167.535015,1425.780409,1571.363361,1592.682824,1527.949893,1457.0623004,650.1023867,727.0480902,787.9063946,823.1417364,834.025578,764.4448371799999,813.0655536,980.3988347000001,1101.7113689999999,1158.58363,1159.097487,1042.5713748599999,818.825816,1000.0345710000001,1141.661457,1224.755228,1257.4808380000002,1088.551582,577.1269223999999,633.7685126,692.6057505,743.075341,778.6701329,685.04933188,635.5837297999999,763.8989852000001,892.6486463,996.4717363,1061.222602,869.96513992,637.635638,772.3772305,913.0321560000001,1034.721068,1123.488942,896.2510069
194,0.9854394257,0.9883493535,0.9882796946,851.4727561000001,998.9054258,1070.588203,1066.481177,1001.837575,997.85702738,1283.911996,1598.8702210000001,1734.6631969999999,1704.8711210000001,1542.546532,1572.9726134,1285.279169,1616.253244,1778.0095440000002,1785.963452,1676.455514,1628.3921846,657.8994122,746.9960646000001,813.6784521000001,849.6417347999999,855.2931627,784.7017652800001,846.4583632000001,1053.7317189999999,1196.874857,1260.5259310000001,1252.183782,1121.95493044,848.2239184,1065.303018,1225.4616119999998,1313.932034,1337.848432,1158.15380288,578.4974671,640.0134749,704.1553573,758.6759959999999,795.3917934,695.34681774,644.3255737000001,792.146245,942.4014145,1063.828265,1137.3786910000001,916.01603784,644.9460508,796.6428151,955.7454081000001,1092.401571,1188.2512570000001,935.5974204
195,1.1638560070000001,1.1688971259999998,1.168890733,889.6986655999999,1058.315,1132.843863,1117.285198,1033.0148470000001,1046.2315147200002,1381.570066,1742.013186,1885.363015,1841.8468440000001,1647.183458,1699.5953137999998,1378.4784300000001,1752.017528,1920.130994,1915.3112260000003,1777.903452,1748.7683260000001,663.9028256,759.7091347999999,828.8545596,863.5372094,865.6069808,796.3221420399999,874.6837324999999,1108.2876509999999,1264.2577119999999,1329.366934,1314.4975279999999,1178.2187115,874.2350369,1115.4180800000001,1287.603575,1377.501808,1395.426336,1210.03696718,579.6276691,643.9244607999999,710.7835982,766.8809597000001,803.6802392999999,700.97938542,652.1133156000001,814.0043015,978.7717044999999,1110.996653,1189.643609,949.1059167199999,651.9821184,816.3961437,988.7210999,1135.250692,1235.772328,965.6244763999999
196,1.225951517,1.235141217,1.235153966,915.5900902999999,1090.440771,1164.2429650000001,1140.211642,1050.329566,1072.1630068600002,1442.2180050000002,1811.715931,1952.7285510000002,1896.797203,1691.241357,1758.9402094000002,1439.49035,1823.917596,1992.741289,1978.8084039999999,1833.229207,1813.6373692000002,673.6430647000001,774.2027846,845.3299212999999,878.5718627999998,879.5712615,810.2637789799999,903.2409127999998,1149.278024,1310.790297,1373.197175,1354.220441,1218.14536996,903.2864604,1158.369889,1338.318882,1427.9049009999999,1444.158309,1254.40768828,582.9753846,651.1453505,721.3123628999999,779.0871323,816.5686294,710.2177719399999,661.7868966,834.8683632999999,1009.4377710000001,1147.116541,1227.467058,976.1353259800001,661.8502403,838.1057344999999,1021.501494,1175.2566279999999,1279.587757,995.2603707599999
199,1.163012854,1.160600207,1.1607592690000001,918.2394118999999,1070.840745,1135.199244,1096.412758,1014.4482869999999,1047.0280891799998,1445.1490900000001,1765.1343420000003,1885.177068,1791.96375,1597.979943,1697.0808386,1440.632369,1775.2815890000002,1920.7223079999999,1868.288982,1729.3204460000002,1746.8491387999998,674.3105357000001,765.9028308,831.4595461,856.8360857000001,857.9472281999999,797.2912453000001,902.4752445,1122.834961,1268.3320939999999,1309.341587,1291.977726,1178.9923225,901.3559644999999,1129.964565,1291.957076,1357.9887390000001,1372.054671,1210.6642031,583.1688865,648.335723,714.5066916000001,766.788497,800.7439136,702.7087423400001,661.2893688999999,825.1486627,987.5124009,1109.115775,1179.792416,952.5717247,660.9377344,827.3917494,997.4727889000001,1133.593423,1225.741133,969.02736574
201,1.072069515,1.059497498,1.059665845,882.2976437000001,1033.673958,1095.213865,1056.577142,977.5094123,1009.0544041999999,1358.788665,1679.447173,1793.226534,1693.13702,1503.043543,1605.528587,1353.292853,1685.4105530000002,1822.4918920000002,1759.4339760000003,1618.21256,1647.7683668000002,660.5085763999999,748.3783159,810.1745562000001,833.1237334,833.1697192,777.0709802200001,861.5514127,1071.32287,1205.701724,1240.389515,1221.935226,1120.18014954,859.5993787999998,1075.482046,1223.88206,1279.99343,1289.312586,1145.65390016,578.3923997,639.0819097,700.9156720999999,749.4523128,780.6005107999999,689.68856102,647.3701137,797.6322539,946.5953101,1057.089964,1120.4584220000002,913.82921274,646.7017382,798.5910539,953.6889025,1076.277164,1158.118017,926.67537512
202,0.9227614856,0.9112760336,0.911358168,842.0570475,976.3569751,1038.017131,1027.068555,966.5732462000001,970.01459096,1256.7696349999999,1539.8675119999998,1652.648602,1605.036508,1450.4451080000001,1500.953473,1256.257803,1553.974837,1689.956798,1677.2581369999998,1569.1881529999998,1549.3271456,653.69441,736.0920539,796.5481222,827.2402778,832.0463348999999,769.1242397599999,832.3808323,1020.434127,1146.5020240000001,1197.1266349999999,1187.933984,1076.87552046,832.9203698,1029.418173,1170.4763679999999,1242.900096,1261.994966,1107.5419945600001,576.9657049,635.0735967999999,694.7049584,744.3370647,777.6119829,685.73866154,639.2993021000001,776.8436422,913.8491313,1021.666106,1086.304836,887.59260352,639.4770427999999,780.1048179,924.6642737,1045.695214,1129.765211,903.94131188
216,0.8428925589,0.8428158920000001,0.8427127908,832.8470169999999,966.5819232000001,1040.557176,1048.721948,1003.414961,978.4246050400001,1226.177592,1502.230601,1635.256437,1620.776901,1491.57226,1495.2027582,1236.981503,1536.520057,1700.795114,1728.991937,1654.734292,1571.6045805999997,664.2702727999999,753.7184137999999,823.6971791,864.106908,875.0239061000001,796.16333596,847.7681757000001,1042.533937,1181.986341,1246.968007,1244.2814779999999,1112.70758774,855.0661739,1065.768217,1228.2754630000002,1323.617624,1358.491571,1166.24380978,582.3965268999999,647.0728955,714.5387818,772.4946173,812.7675929999999,705.8540829,648.086544,794.9246971,942.9210030999999,1062.272765,1135.2605449999999,916.69311084,650.6982376,805.1088501,966.8564108999999,1106.9332060000002,1207.9241220000001,947.50416532
217,1.058107394,1.056527754,1.056446773,873.2575491,1033.9403320000001,1111.3138609999999,1106.2230550000002,1035.137533,1031.97446602,1332.779593,1671.821523,1814.947109,1782.54127,1609.152952,1642.2484893999997,1334.861674,1690.4101899999998,1860.9880460000002,1869.403636,1753.956279,1701.923965,667.4046406,764.6299126,836.7174482999999,875.079002,880.2705302999999,804.82030676,871.1977555,1097.314235,1250.77865,1317.6857220000002,1306.58624,1168.7125205,873.5971811000001,1110.391166,1283.035296,1377.254173,1401.529493,1209.16146182,581.9290301,648.6163838,718.1469316,777.0664171,816.3919262000001,708.43013776,653.0256217,813.5974112,976.3946482999999,1107.244886,1185.498195,947.1521524399999,653.8803561000001,818.8085365000001,991.5968151000001,1139.416342,1242.338574,969.2081247400001
